Timestamp,Your age,How many months or years have you attended the church?,Your gender,In Your Opinion... [I feel like I am a part of the congregation.],In Your Opinion... [I feel connected to others as I worship here.],In Your Opinion... [People help each other and pray for one another.],In Your Opinion... [There is a strong sense of unity within our church.],In Your Opinion... [Our church ministers to the needs of people in our community.],In Your Opinion... [I am/or have grown spiritually as a result of attending here.],In Your Opinion... [The preaching of God’s word in our church is clear.],In Your Opinion... [Our worship services inspire genuine heartfelt praise.],2.	What aspect of this church do you like that you haven’t been able to find or have experienced at another church? ,"3.	If you have visited other churches, what did you like there that our church does not offer? ",4.	What is the most important reason you attend this church?,5.	In what areas do you believe the church could use the most improvement? (Choose only three),"6.	Concerning an incoming pastor, what ministry experience do you believe is most important? (Choose only two)",7.	Where do you envision our church in five years?,8.	Would you recommend this church to a friend? Why or why not?,9.	What else would you like the search committee to consider? 
2020/10/20 9:52:42 AM EST,81,5 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,The friendliness and care of the congregation.,More hymns.  They’re a very important part of my life.,fellowship community,impression and attendance;building community;preaching,small groups;young families,"I hope we get the Sunday School program going again, and attract young families.  That builds the church.  A young minister with a family would be ideal.  ","Yes, because of the friendliness and care of those attending.","Someone who would be able to get the different age groups to work together.  We now have a wonderful leader for the Young at Heart, but the other groups need a leader, so we can all help each other.  A minister who can relate to all age groups would be a real blessing.  "
2020/10/20 12:05:29 PM EST,67,28,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,fellowship community;location;love of preaching;love of music;ministry offerings,impression and attendance;reaching younger generation,discipleship,hoping for growth older people are passing on,yes it is friendly and welcoming,
2020/10/20 12:06:57 PM EST,17,7 years,Female,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The feeling of belonging, that I fit in well.",More youth/young adult events,fellowship community;because of family/friends,reaching younger generation;preaching,small groups;Other,In a place that caters towards both the younger & older generations effectively.,Yes because of its potential.,I feel like I really connect best when Pastor Dwight preaches versus other pastors that have preached to me because he keeps my attention by being versatile and using visual props as well as bringing in real life situations to his sermons. He is also very relatable and down to earth which helps.
2020/10/20 2:47:06 PM EST,68,30+,Female,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Only church I’ve really gone to so n/also,Little more freedom in worship.,fellowship community,reaching younger generation;preaching,young families;discipleship,Unsure,"If young children not sure, our ministries to most groups , people kinda in limbo right now. And a lot of this could be because of the world not just our church","It was nice years past to have Easter, Christmas specials. "
2020/10/20 4:33:45 PM EST,68,30+,Female,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Only church I’ve really gone to so n/also,Little more freedom in worship.,fellowship community,reaching younger generation;preaching,young families;discipleship,Unsure,"If young children not sure, our ministries to most groups , people kinda in limbo right now. And a lot of this could be because of the world not just our church","It was nice years past to have Easter, Christmas specials. "
2020/10/20 7:30:27 PM EST,54,11 months,Female,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I am amazed at the genuine care and concern I have seen in Bill, Dwight and Mindy for everyone in this church. It is truly a blessing!","I think it's hard to know because of Covid but for us, the people at Huber outsell all the bells and whistles that many other larger churches offer. ",fellowship community;love of preaching;love of music,impression and attendance;reaching younger generation;outreach and evangelism,young families;discipleship,"Hopefully back to normal!😊 I'd love to see growth in the kids/youth/young adult areas. Overall growth would be good but not at the expense of losing the community, pastoral care and teaching of Biblical truths.  I'd love to see a series on discipleship for all ages and opportunities to go out and practice what we've learned. I'd also love to see an all church mentorship program (from seniors to kids) where each generation one on one mentors another in growing in our faith and reaching our fullest potential for Christ. ","Yes! Once again, because of the friendliness of the members, the genuine care of the pastors, the teaching of God's word and the music.","Honestly, we love Dwight. Coming from a large church, it is so refreshing to hear real, not perfect but loaded with scripture sermons from someone who genuinely cares about the people. In addition, his lifestyle reflects his relationship with Christ. It seems that this is a given for a Church of God pastor but unfortunately it isn't always the case. I think my biggest vote for him comes because my youngest is extra excited to come when she knows Dwight is preaching. He's extremely relatable to the younger generations. She sees him as real, genuinely caring about her and encouraging her to keep digging deeper and that to me is priceless! My prayers are with you all as you seek God's will in this! Thanks for your time!"
2020/10/20 9:12:11 PM EST,68,30 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Small groups,More familiar worship songs.    Testimonies.,fellowship community;location;because of family/friends,building community;visitation;preaching,small groups;discipleship;Other,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
2020/10/21 10:05:42 AM EST,68,30 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Small groups,More familiar worship songs.    Testimonies.,fellowship community;location;because of family/friends,building community;visitation;preaching,small groups;discipleship;Other,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
2020/10/21 10:35:47 AM EST,54,30+,male,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,heart felt warmth of the community,they are more outreach and mission driven,raised in this church/long history,impression and attendance;reaching younger generation;outreach and evangelism,discipleship;missions and outreach,doing more outreach and impacting families with the love of Christ,Yes. Because I love my church,"Whoever the committee decide to be our next pastor. Please make sure the individual is driven to move our church forward in reaching the next generation but most importantly, not forgetting our elderly, who are the heritage of our church."
2020/10/21 3:00:18 PM EST,81,15 years plus,Female,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,,singing hymns,fellowship community;location;because of family/friends,visitation,small groups;missions and outreach,I hope we will have grown in numbers and more caring for each other,yes I feel the the Lords word is taught here and the members are loving,I I want Weds and Sunday eve services and an experienced pastor
